행정기,행정기관,총인구수,세대수,면적,x,y,short,광역시도,행정구역
11000,서울특별시,"9,565,990","4,405,638",605237005,#N/A,#N/A,#N/A,#N/A,#N/A
11110,서울특별시 종로구,"146,029","73,525",23913280,6,3,서울 종로구,서울특별시,종로구
11140,서울특별시 중구,"123,016","62,897",9959983,6,4,서울 중구,서울특별시,중구
11170,서울특별시 용산구,"226,378","111,650",21866384,6,5,서울 용산구,서울특별시,용산구
11200,서울특별시 성동구,"289,162","134,542",16859343,7,5,서울 성동구,서울특별시,성동구
11215,서울특별시 광진구,"342,481","166,957",17062949,7,6,서울 광진구,서울특별시,광진구
11230,서울특별시 동대문구,"338,040","166,372",14215360,7,4,서울 동대문구,서울특별시,동대문구
11260,서울특별시 중랑구,"389,972","185,073",18496071,8,4,서울 중랑구,서울특별시,중랑구
11290,서울특별시 성북구,"433,658","194,364",24574349,6,2,서울 성북구,서울특별시,성북구
11305,서울특별시 강북구,"302,645","144,525",23600102,5,2,서울 강북구,서울특별시,강북구
11320,서울특별시 도봉구,"320,365","138,387",20660965,5,1,서울 도봉구,서울특별시,도봉구
11350,서울특별시 노원구,"515,997","217,322",35437538,6,1,서울 노원구,서울특별시,노원구
11380,서울특별시 은평구,"475,371","213,662",29711421,4,3,서울 은평구,서울특별시,은평구
11410,서울특별시 서대문구,"307,070","143,226",17625638,5,3,서울 서대문구,서울특별시,서대문구
11440,서울특별시 마포구,"370,132","178,625",23851343,5,4,서울 마포구,서울특별시,마포구
11470,서울특별시 양천구,"450,992","181,012",17405710,4,5,서울 양천구,서울특별시,양천구
11500,서울특별시 강서구,"577,519","269,276",41436853,4,4,서울 강서구,서울특별시,강서구
11530,서울특별시 구로구,"399,266","180,258",20120106,4,7,서울 구로구,서울특별시,구로구
11545,서울특별시 금천구,"230,168","115,358",13020260,5,7,서울 금천구,서울특별시,금천구
11560,서울특별시 영등포구,"377,421","185,025",24548520,4,6,서울 영등포구,서울특별시,영등포구
11590,서울특별시 동작구,"387,847","183,859",16354618,5,5,서울 동작구,서울특별시,동작구
11620,서울특별시 관악구,"488,800","274,565",29568929,5,6,서울 관악구,서울특별시,관악구
11650,서울특별시 서초구,"418,407","171,574",46983285,6,6,서울 서초구,서울특별시,서초구
11680,서울특별시 강남구,"531,375","232,707",39501013,6,7,서울 강남구,서울특별시,강남구
11710,서울특별시 송파구,"658,670","280,707",33872729,8,6,서울 송파구,서울특별시,송파구
11740,서울특별시 강동구,"465,209","200,170",24590256,8,5,서울 강동구,서울특별시,강동구
26000,부산광역시,"3,364,358","1,533,514",770073413,#N/A,#N/A,#N/A,#N/A,#N/A
26110,부산광역시 중구,"40,561","23,583",2825782,10,18,부산 중구,부산광역시,중구
26140,부산광역시 서구,"106,422","53,133",13979612,9,18,부산 서구,부산광역시,서구
26170,부산광역시 동구,"87,916","45,911",9865235,10,17,부산 동구,부산광역시,동구
26200,부산광역시 영도구,"111,685","54,568",14199595,10,19,부산 영도구,부산광역시,영도구
26230,부산광역시 부산진구,"356,091","172,864",29666238,10,16,부산 부산진구,부산광역시,부산진구
26260,부산광역시 동래구,"268,391","115,173",16631774,11,16,부산 동래구,부산광역시,동래구
26290,부산광역시 남구,"264,098","117,410",26818105,11,19,부산 남구,부산광역시,남구
26320,부산광역시 북구,"283,612","122,023",39370091,9,16,부산 북구,부산광역시,북구
26350,부산광역시 해운대구,"399,015","171,791",51474858,12,17,부산 해운대구,부산광역시,해운대구
26380,부산광역시 사하구,"307,559","138,589",41769978,9,19,부산 사하구,부산광역시,사하구
26410,부산광역시 금정구,"229,222","107,165",65274057,10,15,부산 금정구,부산광역시,금정구
26440,부산광역시 강서구,"140,720","59,954",181494645,8,18,부산 강서구,부산광역시,강서구
26470,부산광역시 연제구,"206,239","92,165",12098903,11,17,부산 연제구,부산광역시,연제구
26500,부산광역시 수영구,"175,877","84,948",10212429,11,18,부산 수영구,부산광역시,수영구
26530,부산광역시 사상구,"210,333","98,179",36093426,9,17,부산 사상구,부산광역시,사상구
26710,부산광역시 기장군,"176,617","76,058",218298685,12,16,부산 기장군,부산광역시,기장군
27000,대구광역시,"2,397,646","1,059,826",883517309,#N/A,#N/A,#N/A,#N/A,#N/A
27110,대구광역시 중구,"74,727","38,368",7055185,10,13,대구 중구,대구광역시,중구
27140,대구광역시 동구,"340,693","156,866",182145982,11,13,대구 동구,대구광역시,동구
27170,대구광역시 서구,"167,773","83,089",17333125,8,14,대구 서구,대구광역시,서구
27200,대구광역시 남구,"145,105","76,594",17431532,9,14,대구 남구,대구광역시,남구
27230,대구광역시 북구,"437,333","188,730",93983908,9,13,대구 북구,대구광역시,북구
27260,대구광역시 수성구,"419,979","171,025",76535345,10,14,대구 수성구,대구광역시,수성구
27290,대구광역시 달서구,"551,490","235,588",62339700,8,15,대구 달서구,대구광역시,달서구
27710,대구광역시 달성군,"260,546","109,566",426692532,9,15,대구 달성군,대구광역시,달성군
28000,인천광역시,"2,936,367","1,280,291",1063257852,#N/A,#N/A,#N/A,#N/A,#N/A
28110,인천광역시 중구,"140,175","68,940",140286900,1,7,인천 중구,인천광역시,중구
28114,인천광역시 중구영종출장소,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
28118,인천광역시 중구용유출장소,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
28140,인천광역시 동구,"61,436","28,420",7194831,1,5,인천 동구,인천광역시,동구
28177,인천광역시 미추홀구,"404,618","190,300",24835030,2,7,인천 미추홀구,인천광역시,미추홀구
28185,인천광역시 연수구,"390,827","155,462",54947866,1,8,인천 연수구,인천광역시,연수구
28200,인천광역시 남동구,"521,340","226,911",57016644,2,8,인천 남동구,인천광역시,남동구
28237,인천광역시 부평구,"490,609","212,435",32008762,2,6,인천 부평구,인천광역시,부평구
28245,인천광역시 계양구,"296,442","126,314",45565180,2,5,인천 계양구,인천광역시,계양구
28260,인천광역시 서구,"541,304","225,337",117087390,1,4,인천 서구,인천광역시,서구
28265,인천광역시 서구검단출장소,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
28710,인천광역시 강화군,"69,285","34,180",411411035,1,3,인천 강화군,인천광역시,강화군
28720,인천광역시 옹진군,"20,331","11,992",172904214,0,8,인천 옹진군,인천광역시,옹진군
29000,광주광역시,"1,442,647","638,270",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
29110,광주광역시 동구,"103,146","51,414",49312364,3,20,광주 동구,광주광역시,동구
29140,광주광역시 서구,"293,088","131,850",47748121,2,20,광주 서구,광주광역시,서구
29155,광주광역시 남구,"213,910","93,908",61018238,2,21,광주 남구,광주광역시,남구
29170,광주광역시 북구,"427,858","193,705",120280473,3,19,광주 북구,광주광역시,북구
29200,광주광역시 광산구,"404,645","167,393",222777065,2,19,광주 광산구,광주광역시,광산구
30000,대전광역시,"1,456,107","657,781",539626515,#N/A,#N/A,#N/A,#N/A,#N/A
30110,대전광역시 동구,"223,245","106,961",136679755,5,13,대전 동구,대전광역시,동구
30140,대전광역시 중구,"232,841","107,537",62179185,5,14,대전 중구,대전광역시,중구
30170,대전광역시 서구,"474,934","211,670",95525521,4,14,대전 서구,대전광역시,서구
30200,대전광역시 유성구,"349,927","152,860",176529023,4,13,대전 유성구,대전광역시,유성구
30230,대전광역시 대덕구,"175,160","78,753",68713031,5,12,대전 대덕구,대전광역시,대덕구
31000,울산광역시,"1,126,369","479,971",1062038815,#N/A,#N/A,#N/A,#N/A,#N/A
31110,울산광역시 중구,"214,779","93,379",37010509,11,14,울산 중구,울산광역시,중구
31140,울산광역시 남구,"316,716","138,521",73466522,12,15,울산 남구,울산광역시,남구
31170,울산광역시 동구,"155,129","66,005",36074686,12,14,울산 동구,울산광역시,동구
31200,울산광역시 북구,"218,131","84,776",157357088,12,13,울산 북구,울산광역시,북구
31710,울산광역시 울주군,"221,614","97,290",758130010,11,15,울산 울주군,울산광역시,울주군
36000,세종특별자치시,"362,995","148,604",464949680,#N/A,#N/A,#N/A,#N/A,#N/A
36110,세종특별자치시,"362,995","148,604",464949680,4,11,세종,세종특별자치시,세종시
41000,경기도,"13,500,688","5,763,227",10192514247,#N/A,#N/A,#N/A,#N/A,#N/A
41110,경기도 수원시,"1,184,210","512,813",121092176,6,9,수원,경기도,수원시
41111,경기도 수원시 장안구,"270,373","116,223",33300000,#N/A,#N/A,#N/A,#N/A,#N/A
41113,경기도 수원시 권선구,"365,208","155,429",47100000,#N/A,#N/A,#N/A,#N/A,#N/A
41115,경기도 수원시 팔달구,"183,123","90,599",12900000,#N/A,#N/A,#N/A,#N/A,#N/A
41117,경기도 수원시 영통구,"365,506","150,562",27700000,#N/A,#N/A,#N/A,#N/A,#N/A
41130,경기도 성남시,"931,654","406,828",141633070,7,8,성남,경기도,성남시
41131,경기도 성남시 수정구,"236,873","114,119",46000000,#N/A,#N/A,#N/A,#N/A,#N/A
41133,경기도 성남시 중원구,"214,767","101,199",26390000,#N/A,#N/A,#N/A,#N/A,#N/A
41135,경기도 성남시 분당구,"480,014","191,510",69430000,#N/A,#N/A,#N/A,#N/A,#N/A
41150,경기도 의정부시,"461,523","203,309",81544832,7,3,의정부,경기도,의정부시
41170,경기도 안양시,"549,903","223,412",58467312,3,4,안양,경기도,안양시
41171,경기도 안양시 만안구,"238,391","102,062",36600000,#N/A,#N/A,#N/A,#N/A,#N/A
41173,경기도 안양시 동안구,"311,512","121,350",21930000,#N/A,#N/A,#N/A,#N/A,#N/A
41190,경기도 부천시,"810,742","345,213",53446246,2,4,부천,경기도,부천시
41210,경기도 광명시,"295,852","120,396",38526428,3,3,광명,경기도,광명시
41220,경기도 평택시,"549,901","252,303",458244178,5,9,평택,경기도,평택시
41222,경기도 송탄출장소,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
41224,경기도 안중출장소,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
41250,경기도 동두천시,"93,354","43,688",95664308,7,2,동두천,경기도,동두천시
41270,경기도 안산시,"655,115","290,203",155730955,3,6,안산,경기도,안산시
41271,경기도 안산시 상록구,"353,174","156,040",57830000,#N/A,#N/A,#N/A,#N/A,#N/A
41273,경기도 안산시 단원구,"301,941","134,163",91230000,#N/A,#N/A,#N/A,#N/A,#N/A
41280,경기도 고양시,"1,080,507","453,155",268088330,4,2,고양,경기도,고양시
41281,경기도 고양시 덕양구,"480,386","206,920",165510000,#N/A,#N/A,#N/A,#N/A,#N/A
41285,경기도 고양시 일산동구,"300,326","128,134",59100000,#N/A,#N/A,#N/A,#N/A,#N/A
41287,경기도 고양시 일산서구,"299,795","118,101",42770000,#N/A,#N/A,#N/A,#N/A,#N/A
41290,경기도 과천시,"69,276","25,543",35868319,7,7,과천,경기도,과천시
41310,경기도 구리시,"194,389","80,906",33325064,9,4,구리,경기도,구리시
41360,경기도 남양주시,"724,183","292,185",458115470,8,3,남양주,경기도,남양주시
41362,경기도 풍양출장소,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
41370,경기도 오산시,"230,705","101,249",42707724,3,8,오산,경기도,오산시
41390,경기도 시흥시,"511,314","218,046",138660046,3,5,시흥,경기도,시흥시
41410,경기도 군포시,"270,584","112,694",36416854,5,8,군포,경기도,군포시
41430,경기도 의왕시,"162,215","64,719",53987611,6,8,의왕,경기도,의왕시
41450,경기도 하남시,"305,908","133,802",92991186,9,5,하남,경기도,하남시
41460,경기도 용인시,"1,077,826","425,579",591259247,7,9,용인,경기도,용인시
41461,경기도 용인시 처인구,"260,877","113,988",467600000,#N/A,#N/A,#N/A,#N/A,#N/A
41463,경기도 용인시 기흥구,"439,791","171,279",81700000,#N/A,#N/A,#N/A,#N/A,#N/A
41465,경기도 용인시 수지구,"377,158","140,312",42100000,#N/A,#N/A,#N/A,#N/A,#N/A
41480,경기도 파주시,"472,260","205,132",673229199,3,2,파주,경기도,파주시
41500,경기도 이천시,"220,904","99,598",461421891,8,8,이천,경기도,이천시
41550,경기도 안성시,"189,060","87,765",553418704,4,8,안성,경기도,안성시
41570,경기도 김포시,"483,642","198,471",276612088,2,3,김포,경기도,김포시
41590,경기도 화성시,"870,361","362,941",697766499,3,7,화성,경기도,화성시
41592,경기도 화성시동부출장소,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
41594,경기도 화성시동탄출장소,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
41610,경기도 광주시,"384,714","165,676",430990347,8,7,경기광주,경기도,광주시
41630,경기도 양주시,"235,394","101,150",310390297,8,2,양주,경기도,양주시
41650,경기도 포천시,"147,597","72,306",826957493,8,1,포천,경기도,포천시
41670,경기도 여주시,"112,177","52,170",608298372,9,7,여주,경기도,여주시
41800,경기도 연천군,"43,042","21,912",676318066,7,1,연천,경기도,연천군
41820,경기도 가평군,"62,364","31,731",843690575,9,3,가평,경기도,가평군
41830,경기도 양평군,"120,012","58,332",877651360,9,6,양평,경기도,양평군
42000,강원도,"1,535,530","738,068",16828280729,#N/A,#N/A,#N/A,#N/A,#N/A
42110,강원도 춘천시,"282,511","127,689",1116373900,10,3,춘천,강원도,춘천시
42130,강원도 원주시,"354,978","162,075",868240238,10,7,원주,강원도,원주시
42150,강원도 강릉시,"212,784","101,951",1040783864,11,4,강릉,강원도,강릉시
42170,강원도 동해시,"89,999","42,414",180201980,11,5,동해,강원도,동해시
42190,강원도 태백시,"41,419","20,899",303521188,11,7,태백,강원도,태백시
42210,강원도 속초시,"82,254","40,130",105760448,9,1,속초,강원도,속초시
42230,강원도 삼척시,"64,073","33,225",1187839038,11,8,삼척,강원도,삼척시
42720,강원도 홍천군,"68,619","34,085",1820310462,10,4,홍천,강원도,홍천군
42730,강원도 횡성군,"46,614","23,486",998066556,10,5,횡성,강원도,횡성군
42750,강원도 영월군,"38,057","21,025",1127289702,10,8,영월,강원도,영월군
42760,강원도 평창군,"41,109","21,479",1463928054,10,6,평창,강원도,평창군
42770,강원도 정선군,"35,952","19,710",1219777976,11,6,정선,강원도,정선군
42780,강원도 철원군,"43,932","21,002",889682311,6,0,철원,강원도,철원군
42790,강원도 화천군,"24,408","12,632",908931856,7,0,화천,강원도,화천군
42800,강원도 양구군,"22,027","10,708",661819106,8,0,양구,강원도,양구군
42810,강원도 인제군,"31,835","16,147",1644967141,9,2,인제,강원도,인제군
42820,강원도 고성군,"26,924","14,754",660707506,9,0,고성(강원),강원도,고성군
42830,강원도 양양군,"28,035","14,657",630079403,10,2,양양,강원도,양양군
43000,충청북도,"1,597,503","752,237",7406819938,#N/A,#N/A,#N/A,#N/A,#N/A
43110,충청북도 청주시,"847,392","381,928",940844524,6,12,청주,충청북도,청주시
43111,충청북도 청주시 상당구,"193,737","83,616",404440000,#N/A,#N/A,#N/A,#N/A,#N/A
43112,충청북도 청주시 서원구,"193,472","88,212",122590000,#N/A,#N/A,#N/A,#N/A,#N/A
43113,충청북도 청주시 흥덕구,"266,518","121,915",198270000,#N/A,#N/A,#N/A,#N/A,#N/A
43114,충청북도 청주시 청원구,"193,665","88,185",214990000,#N/A,#N/A,#N/A,#N/A,#N/A
43130,충청북도 충주시,"209,638","98,661",983477555,6,10,충주,충청북도,충주시
43150,충청북도 제천시,"132,313","64,432",883422112,8,10,제천,충청북도,제천시
43720,충청북도 보은군,"32,096","16,943",584207531,7,12,보은,충청북도,보은군
43730,충청북도 옥천군,"50,282","24,776",537221176,6,13,옥천,충청북도,옥천군
43740,충청북도 영동군,"46,316","23,888",846016198,6,14,영동,충청북도,영동군
