"행정구역(시군구)별","항목","단위","2011. 01 월","2011. 02 월","2011. 03 월","2011. 04 월","2011. 05 월","2011. 06 월","2011. 07 월","2011. 08 월","2011. 09 월","2011. 10 월","2011. 11 월","2011. 12 월","2012. 01 월","2012. 02 월","2012. 03 월","2012. 04 월","2012. 05 월","2012. 06 월","2012. 07 월","2012. 08 월","2012. 09 월","2012. 10 월","2012. 11 월","2012. 12 월","2013. 01 월","2013. 02 월","2013. 03 월","2013. 04 월","2013. 05 월","2013. 06 월","2013. 07 월","2013. 08 월","2013. 09 월","2013. 10 월","2013. 11 월","2013. 12 월","2014. 01 월","2014. 02 월","2014. 03 월","2014. 04 월","2014. 05 월","2014. 06 월","2014. 07 월","2014. 08 월","2014. 09 월","2014. 10 월","2014. 11 월","2014. 12 월","2015. 01 월","2015. 02 월","2015. 03 월","2015. 04 월","2015. 05 월","2015. 06 월","2015. 07 월","2015. 08 월","2015. 09 월","2015. 10 월","2015. 11 월","2015. 12 월","2016. 01 월","2016. 02 월","2016. 03 월","2016. 04 월","2016. 05 월","2016. 06 월","2016. 07 월","2016. 08 월","2016. 09 월","2016. 10 월","2016. 11 월","2016. 12 월","2017. 01 월","2017. 02 월","2017. 03 월","2017. 04 월","2017. 05 월","2017. 06 월","2017. 07 월","2017. 08 월","2017. 09 월","2017. 10 월","2017. 11 월","2017. 12 월","2018. 01 월","2018. 02 월","2018. 03 월","2018. 04 월","2018. 05 월","2018. 06 월","2018. 07 월","2018. 08 월","2018. 09 월","2018. 10 월","2018. 11 월","2018. 12 월","2019. 01 월","2019. 02 월","2019. 03 월","2019. 04 월","2019. 05 월","2019. 06 월","2019. 07 월","2019. 08 월","2019. 09 월","2019. 10 월","2019. 11 월","2019. 12 월","2020. 01 월","2020. 02 월","2020. 03 월","2020. 04 월","2020. 05 월","2020. 06 월","2020. 07 월","2020. 08 월","2020. 09 월","2020. 10 월","2020. 11 월","2020. 12 월","2021. 01 월","2021. 02 월","2021. 03 월","2021. 04 월","2021. 05 월","2021. 06 월","2021. 07 월","2021. 08 월","2021. 09 월",
"전국","세대수","호","19869849","19891086","19906696","19923412","19935590","19945050","19952383","19968170","19985664","20004361","20019850","20033142","20038189","20061711","20081106","20094955","20109711","20122836","20137163","20153476","20167152","20182469","20196798","20211770","20223716","20248440","20273632","20295992","20316172","20337060","20353395","20373300","20393578","20418259","20437628","20456588","20466884","20500837","20527351","20549492","20567959","20586788","20606866","20628782","20655145","20682278","20702623","20724094","20740958","20772167","20801104","20821017","20844274","20870280","20892349","20916461","20940559","20967469","20988782","21011152","21026847","21057262","21084550","21104857","21130317","21153853","21173397","21192974","21214428","21241538","21267187","21294009","21312864","21352287","21381346","21402062","21429935","21455795","21482219","21514559","21544772","21570895","21599577","21632851","21662900","21703524","21745437","21777777","21804246","21825601","21853371","21895153","21930578","21972704","22006919","22042947","22081397","22131431","22175371","22212339","22253218","22281663","22314013","22347155","22380985","22414439","22444006","22481466","22513039","22561161","22613882","22663240","22732288","22791531","22842044","22898959","22952513","22991110","23037033","23093108","23137172","23194982","23157385","23198657","23225281","23256332","23294707","23336989","23383689",
"서울특별시","세대수","호","4223301","4225512","4221613","4219198","4214866","4210104","4206353","4204155","4201510","4199109","4195791","4192752","4191988","4194856","4192477","4190283","4188758","4187283","4186203","4185964","4185440","4182937","4180568","4177970","4178537","4181574","4182314","4182017","4181819","4181577","4181320","4183132","4184537","4185280","4184122","4182351","4182556","4188621","4190331","4189778","4189440","4189495","4190836","4193111","4195210","4195960","4195300","4194176","4196435","4201451","4202812","4200803","4199356","4197478","4196515","4196071","4195438","4194103","4192412","4189948","4190415","4193517","4194485","4193887","4193473","4193712","4192776","4191784","4191411","4191313","4190260","4189839","4192985","4200761","4202888","4203957","4207393","4210933","4213667","4217954","4219001","4219562","4219280","4220082","4224387","4231130","4237610","4239848","4240628","4241547","4243687","4249335","4254018","4258518","4260463","4263868","4271551","4283150","4290922","4296066","4301522","4304243","4308300","4312172","4315921","4319322","4322454","4327605","4334918","4345877","4354006","4361645","4373610","4384076","4391545","4400154","4405833","4408498","4412343","4417954","4421022","4427814","4400403","4403263","4403381","4405638","4409964","4416816","4421143",
"종로구","세대수","호","77569","77598","77380","77298","77224","77121","76978","76986","76999","76957","76811","76688","76717","76697","76702","76500","76381","76315","76269","76305","76245","76100","75993","75659","75365","75042","74581","74398","74169","74092","74020","74069","74016","73943","73854","73693","73548","73683","73689","73740","73729","73629","73506","73495","73581","73445","73281","73101","72949","72928","73218","73153","73032","72882","72731","72691","72878","72890","72780","72645","72605","72718","73146","73034","72925","72820","72699","72597","72582","72466","72329","72118","71966","72007","72654","72838","73025","73091","73241","73424","73668","73663","73618","73594","73562","73570","73879","73857","73811","73655","73554","73559","73696","73712","73713","73735","73691","73814","73914","73861","73836","73828","73790","73802","73942","73906","73951","73947","73925","74028","74151","74299","74408","74497","74605","74700","74861","74835","74900","75003","75060","75112","74113","74178","73712","73525","73453","73580","73652",
"중구","세대수","호","61423","61500","61419","61381","61285","61110","61008","60972","60896","60918","61068","61475","61763","62206","62380","62410","62481","62537","62541","62496","62371","61989","61687","61546","61431","61366","61217","61079","61045","60967","60866","60756","60649","60651","60663","60600","60526","60563","60481","60338","60307","60267","60187","60136","60149","60168","60061","59960","59932","60056","60043","59920","59696","59614","59513","59456","59452","59506","59438","59321","59279","59253","59339","59409","59290","59315","59381","59570","59591","59686","59701","59651","59600","59602","59481","59394","59413","59368","59436","59896","60130","60212","60285","60412","60520","60689","60903","60943","61069","61091","61075","61127","61232","61361","61418","61502","61612","61770","61800","61879","61873","62156","62481","62553","62593","62608","62633","62739","62814","63016","63045","63091","63234","63354","63397","63540","63594","63640","63666","63686","63707","63789","63746","63851","62847","62897","63001","63130","63267",
"용산구","세대수","호","113154","113151","113264","113255","113412","113330","113262","113111","112969","112861","112718","112617","112510","112338","112049","111777","111611","111459","111354","111313","111222","111016","110870","110706","110665","110588","110479","110329","110226","110126","110003","109887","109741","109669","109500","109361","109406","109554","109487","109244","109189","109019","108896","108796","108694","108522","108448","108429","108480","108524","108506","108357","108257","108138","108077","107934","107827","107641","107639","107512","107428","107374","107342","107295","107256","107277","107293","107158","107026","106886","106698","106607","106566","106639","106544","106475","106511","106603","106664","106903","107090","107282","107415","107666","107979","108280","108497","108545","108552","108516","108552","108664","108777","108874","108938","108974","109146","109348","109413","109378","109507","109692","109794","109916","109911","109909","109964","110126","110457","110770","110895","111037","111319","111586","111800","112059","112451","112699","112906","113093","113267","113600","112881","112940","112275","111650","111635","111419","111177",
"성동구","세대수","호","129388","129255","128922","128572","128319","128052","127748","127399","127169","126834","126487","126148","125947","126033","125880","125828","125745","125689","125599","125797","126024","125938","125865","125848","126335","126936","127035","127024","126960","127026","126849","126775","126701","126593","126540","126447","126393","126520","126714","126738","126683","126698","126620","126412","126348","126113","126009","125814","125815","125926","126021","126088","126539","126915","126932","126989","127047","126961","126835","126714","126702","126707","126666","126711","127072","127341","127460","127711","127771","127539","127809","128727","129555","130493","130868","131032","131261","131474","131716","132157","132415","132564","132720","132902","133233","133644","134543","135147","135399","135666","136000","136494","136831","137124","137197","137209","137183","137288","137247","137053","137024","136872","136703","136592","136466","136196","136000","135838","135732","135797","135643","135563","135712","135937","136030","136094","136096","135978","135871","135870","135862","135958","135883","135884","134664","134542","134493","134507","134620",
"광진구","세대수","호","159671","159706","159580","159447","159263","159091","158935","158723","158655","158623","158597","158472","158433","158520","158486","158458","158483","158447","158590","158696","158750","158620","158542","158534","158699","158913","158987","158995","159013","159077","159059","159088","159246","159221","159244","159173","159162","159516","159650","159622","159462","159338","159207","159120","159025","158778","158588","158524","158608","158903","159056","159057","158926","158769","158706","158563","158544","158528","158440","158353","158295","158519","158593","158542","158388","158454","158526","158560","158554","158467","158449","158390","158504","158861","158960","159008","159157","159375","159585","159965","160085","160230","160539","160798","161143","161397","161407","161415","161369","161294","161293","161556","161714","162069","162398","162606","162846","163293","163460","163578","163862","163914","163880","164082","164173","164232","164258","164428","164730","165100","165287","165579","166014","166307","166520","166703","166857","166944","167173","167427","167561","167677","166638","166666","166866","166957","167057","167233","167438",
"동대문구","세대수","호","158661","158954","158890","158874","158719","158336","158189","158288","158242","158154","157987","157823","157745","158289","158294","158285","158296","158277","158178","158067","158017","157946","157851","157650","157578","157798","157854","157839","158398","158794","158987","159257","159315","159373","159335","159256","159163","159341","159399","159410","159393","159186","159076","158972","159413","159800","159930","159880","159810","160096","160384","160320","160267","160110","159967","159966","160079","160101","159972","159941","159898","160215","160378","160347","160155","159914","159665","159489","159429","159471","159507","159426","159396","159803","159839","159915","159911","159826","159887","159982","160029","160080","160003","159938","159955","160296","160489","160524","160478","160757","161336","161984","162232","162354","162168","161820","161742","162229","162228","162324","162581","162851","163103","163442","163606","163666","163900","164191","164359","164844","165279","165516","166073","166451","166662","166933","167232","167301","167428","167598","167524","167854","165924","166000","166197","166372","166670","167136","167591",
"중랑구","세대수","호","176074","176110","176003","175949","175845","175699","175566","175481","175352","175289","175298","175115","175009","174954","174927","174675","174578","174475","174361","174304","174334","174405","174326","174313","174269","174387","174447","174517","174612","174741","174770","174731","174870","174916","174821","174938","175144","175662","175731","175657","175715","175862","176206","176551","176683","176774","176779","176714","176760","176830","176862","177037","177150","177077","176847","176592","176441","176340","176461","176390","176478","176604","176721","176903","177061","177105","177230","177156","177232","177318","177392","177400","177477","177595","177548","177597","177737","178185","178508","178760","179002","179077","179116","179132","179184","179365","179600","179710","179768","179690","179758","179914","180044","180243","180360","180511","180740","180986","181182","181212","181237","181383","181342","181375","181448","181382","181400","181579","181774","182034","182220","182433","182930","183310","183607","184597","185109","185356","185610","185920","186225","186457","185506","185458","185026","185073","185131","185333","185497",
"성북구","세대수","호","201402","201664","201594","201424","201097","200761","200508","200317","200179","199966","199674","199398","199135","199260","199168","198916","198792","198707","198730","198738","198665","198418","198203","197992","197803","197922","198094","198058","197927","197887","197819","197769","197679","197376","197058","196693","196556","196756","196661","196336","195998","195568","195211","194853","194541","194107","193715","193359","193258","193602","193560","193226","192923","192670","192459","192246","191987","191685","191358","190973","190796","191013","190957","190818","190559","190406","190022","189718","189367","189062","188721","188304","188060","188513","188512","188398","188233","188100","188037","188006","187822","187565","187345","187112","186939","187221","187234","187111","186915","186696","186542","186665","186744","186761","186638","186601","186641","187362","188670","189542","189947","190253","190698","191174","191465","192307","192535","192592","192809","193344","193801","194095","194735","195064","195178","195325","195379","195415","195331","195396","195703","196066","193965","194136","194304","194364","194528","194774","195099",
