* 통계표명 :,월별_매입자거주지별_아파트매매거래_동호수,,,,,,,,,,,,,,,,
* 수록기간 :,2019년 12월 ~ 2021년 01월,,,,,,,,,,,,,,,,
* 조회기간 :,2019년 12월 ~ 2021년 01월,,,,,,,,,,,,,,,,
* 출처 :,국토교통부,,,,,,,,,,,,,,,,
* 자료다운일자 :,2021.03.09 21:51:48,,,,,,,,,,,,,,,,
* 단위 :,"동(호)수,천㎡",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
지 역,,,매입자거주지,2019년 12월,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월,2020년 07월,2020년 08월,2020년 09월,2020년 10월,2020년 11월,2020년 12월,2021년 01월
전국,,,합계,87933,75986,87642,79615,48972,57426,102482,102628,59429,58037,66174,89660,106027,64371
,,,관할시군구내,44858,39665,44763,40331,27196,30058,50501,52077,33541,33257,36356,47115,50983,31732
,,,관할시도내,20834,18661,22012,19145,10938,12111,24365,25144,13282,12861,14770,21503,25855,14897
,,,관할시도외_서울,5407,4641,6010,5589,3066,4239,8345,7934,4397,3967,4704,5481,8627,5933
,,,관할시도외_기타,16834,13019,14857,14550,7772,11018,19271,17473,8209,7952,10344,15561,20562,11809
서울,,,합계,14117,10491,9522,9152,3699,4328,11106,16002,6880,4795,4320,4725,8764,5945
,,,관할시군구내,5516,4230,3810,3841,1488,1831,4660,6462,2779,2009,1839,1817,3350,2191
,,,관할시도내,4914,3640,3438,3195,1383,1471,3971,6083,2747,1890,1628,1842,3583,2490
,,,관할시도외_서울,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,관할시도외_기타,3687,2621,2274,2116,828,1026,2475,3457,1354,896,853,1066,1831,1264
,종로구,,합계,111,95,74,73,41,50,91,123,59,48,45,85,86,50
,,,관할시군구내,32,29,20,20,10,19,23,33,18,11,15,11,21,11
,,,관할시도내,51,46,38,42,21,18,47,66,28,30,21,62,47,29
,,,관할시도외_서울,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,관할시도외_기타,28,20,16,11,10,13,21,24,13,7,9,12,18,10
,중구,,합계,195,167,110,105,40,50,125,174,81,73,66,75,98,77
,,,관할시군구내,51,41,29,24,5,12,33,37,29,24,15,16,24,16
,,,관할시도내,99,70,61,49,18,27,68,93,36,35,36,41,53,49
,,,관할시도외_서울,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,관할시도외_기타,45,56,20,32,17,11,24,44,16,14,15,18,21,12
,용산구,,합계,298,249,146,107,38,88,236,238,145,115,106,161,191,121
,,,관할시군구내,84,55,45,23,13,32,80,68,49,26,40,35,63,37
,,,관할시도내,136,147,72,52,14,29,96,121,68,60,43,59,87,56
,,,관할시도외_서울,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,관할시도외_기타,78,47,29,32,11,27,60,49,28,29,23,67,41,28
,성동구,,합계,745,431,375,294,112,100,355,682,274,203,121,181,328,202
,,,관할시군구내,207,125,107,95,38,28,110,224,83,61,36,72,113,60
,,,관할시도내,364,209,186,140,50,61,176,325,145,105,62,79,155,96
,,,관할시도외_서울,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,관할시도외_기타,174,97,82,59,24,11,69,133,46,37,23,30,60,46
,광진구,,합계,284,141,134,93,56,60,140,267,128,93,75,75,140,103
,,,관할시군구내,131,49,42,42,22,22,68,105,51,49,32,36,65,37
,,,관할시도내,98,60,52,36,24,24,55,111,59,32,33,26,50,54
,,,관할시도외_서울,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,관할시도외_기타,55,32,40,15,10,14,17,51,18,12,10,13,25,12
,동대문구,,합계,528,439,394,388,139,173,372,610,259,190,177,165,321,310
,,,관할시군구내,173,163,135,151,57,71,156,255,94,62,60,41,99,66
,,,관할시도내,226,193,155,162,51,71,136,260,120,95,80,90,169,143
,,,관할시도외_서울,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,관할시도외_기타,129,83,104,75,31,31,80,95,45,33,37,34,53,101
,중랑구,,합계,544,297,315,418,170,209,345,467,229,144,152,95,238,170
,,,관할시군구내,172,156,123,188,86,68,166,184,102,67,62,45,92,63
,,,관할시도내,103,95,121,153,61,63,124,183,91,53,64,39,102,83
,,,관할시도외_서울,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,관할시도외_기타,269,46,71,77,23,78,55,100,36,24,26,11,44,24
,성북구,,합계,696,679,595,522,186,228,554,915,338,187,172,203,349,272
,,,관할시군구내,309,295,253,231,78,103,244,372,129,85,74,88,151,105
,,,관할시도내,256,243,233,189,69,89,203,378,154,80,74,93,151,128
,,,관할시도외_서울,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,관할시도외_기타,131,141,109,102,39,36,107,165,55,22,24,22,47,39
,강북구,,합계,179,370,350,265,112,126,273,367,107,87,135,80,159,135
,,,관할시군구내,69,116,145,106,62,54,100,134,38,39,57,39,57,47
,,,관할시도내,75,148,139,109,30,48,115,161,49,35,55,31,74,71
,,,관할시도외_서울,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,관할시도외_기타,35,106,66,50,20,24,58,72,20,13,23,10,28,17
,도봉구,,합계,496,475,487,653,230,243,659,876,314,200,183,195,396,285
,,,관할시군구내,210,233,236,306,107,124,307,367,139,103,78,82,159,111
,,,관할시도내,146,144,167,215,76,72,245,339,121,79,68,72,171,126
,,,관할시도외_서울,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,관할시도외_기타,140,98,84,132,47,47,107,170,54,18,37,41,66,48
,노원구,,합계,1291,1069,1150,1288,474,439,1374,1530,537,394,403,362,829,632
,,,관할시군구내,581,481,495,549,209,191,616,700,236,177,179,154,344,228
,,,관할시도내,336,325,386,413,165,155,445,506,193,147,164,140,311,273
,,,관할시도외_서울,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,관할시도외_기타,374,263,269,326,100,93,313,324,108,70,60,68,174,131
,은평구,,합계,396,387,414,387,179,200,419,666,292,177,175,157,268,234
,,,관할시군구내,170,176,199,191,84,105,180,312,129,96,89,66,114,101
,,,관할시도내,124,114,123,111,46,59,129,210,107,51,55,61,98,88
,,,관할시도외_서울,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,관할시도외_기타,102,97,92,85,49,36,110,144,56,30,31,30,56,45
,서대문구,,합계,522,396,339,277,105,144,385,517,245,186,177,197,310,181
,,,관할시군구내,155,134,133,109,43,69,138,173,81,58,80,55,87,68
